"ANSI","State","winner","PTrump","PCruz","PRubio","PKasich"
19,"IA","Cruz",0.316053488436813,0.359460662900398,0.300315865638828,0.0241699830239613
33,"NH","Trump",0.48148041585146,0.159152376568075,0.144013503663636,0.21535370391683
45,"SC","Trump",0.382703501359441,0.26293703169477,0.264677818766674,0.0896816481791144
32,"NV","Trump",0.484584403373609,0.225641673332491,0.251757672715025,0.0380162505788742
1,"AL","Trump",0.495570679162528,0.240773748025303,0.213036667710951,0.0506189051012178
2,"AK","Cruz",0.376158533463055,0.408264632085616,0.169901172615085,0.0456756618362435
5,"AR","Trump",0.356619793759207,0.331787866613098,0.271153073523503,0.0404392661041918
13,"GA","Trump",0.41980406627741,0.255300402142753,0.264395890546215,0.0604996410336223
25,"MA","Trump",0.520250137451934,0.101059340798909,0.188542274198643,0.190148247550515
27,"MN","Rubio",0.230242724030829,0.313317228421335,0.394244411212086,0.0621956363357491
40,"OK","Cruz",0.306821262781174,0.37236272246964,0.281880144002603,0.0389358707465832
47,"TN","Trump",0.432028339434328,0.274199349948643,0.235022263544793,0.0587500470722367
48,"TX","Cruz",0.289225903885827,0.47313805704059,0.191727098784944,0.0459089402886388
50,"VT","Trump",0.355188729588388,0.105464441993668,0.209505852218151,0.329840976199794
51,"VA","Trump",0.373627342518321,0.181789078359298,0.343274057062245,0.101309522060136
20,"KS","Cruz",0.236142443912363,0.487273884821392,0.168698877555257,0.107884793710988
21,"KY","Trump",0.365483875255307,0.321223345103651,0.166493139396302,0.14679964024474
22,"LA","Trump",0.427567260196077,0.390335221939807,0.115796468968163,0.0663010488959531
23,"ME","Cruz",0.33021434011533,0.465128930475465,0.0811663583940812,0.123490371015123
15,"HI","Trump",0.429165406713033,0.331040217719988,0.132975506501361,0.106818869065618
16,"ID","Cruz",0.290211999033834,0.468878318871816,0.164187770572825,0.076721911521525
26,"MI","Trump",0.384205627220843,0.262105132738302,0.0982238021942762,0.255465437846579
28,"MS","Trump",0.484958460312844,0.371935104513094,0.0525233621223809,0.0905830730516812
11,"DC","Rubio",0.13914590747331,0.12491103202847,0.376868327402135,0.359074733096085
12,"FL","Trump",0.473103210205338,0.177274096742714,0.279610755905111,0.0700119371468374
17,"IL","Trump",0.398247446149621,0.310884985491745,0.0888591777812307,0.202008390577403
29,"MO","Trump",0.418962082195266,0.417069536260456,0.0625066474853591,0.101461734058919
37,"NC","Trump",0.413102949556737,0.377567066529131,0.0792192943858156,0.130110689528316
39,"OH","Kasich",0.361738368673488,0.133040529354063,0.0295412500118079,0.475679851960641
4,"AZ","Trump",0.494238211917518,0.261336196923223,0.139532768130301,0.104892823028958
49,"UT","Cruz",0.140312859754859,0.691671745558791,0,0.16801539468635
