"state","ansi_code","votes","delegates"
"NH",33,95252,9
"SC",45,271514,39
"AL",1,309928,44
"AR",5,144580,22
"CO",8,49314,28
"GA",13,543008,73
"MA",25,603784,46
"MN",27,73510,31
"OK",40,139338,17
"TN",47,245304,44
"TX",48,935080,147
"VT",50,18335,0
"VA",51,503358,62
"KS",20,12593,10
"LA",22,221615,37
"NE",31,14340,10
"MI",26,576795,63
"MS",28,182447,32
"FL",12,1097400,141
"IL",17,1007382,76
"MO",29,310602,34
"NC",37,616383,59
"OH",39,679266,81
"AZ",4,235697,42
"ID",16,5065,5
"UT",49,15666,6
"HI",15,10125,8
"WI",55,432767,38
"WY",56,124,7
