"state","ansi_code","votes","delegates"
"NH",33,95252,16.5051017380903
"SC",45,271514,47.047476098306
"AL",1,309928,53.7037875475879
"AR",5,144580,25.052572222033
"CO",8,49314,8.54504458816805
"GA",13,543008,94.0914866312195
"MA",25,603784,104.622646745802
"MN",27,73510,12.7376855999561
"OK",40,139338,24.1442475326715
"TN",47,245304,42.5058526514981
"TX",48,935080,162.029044358685
"VT",50,18335,3.17705707353006
"VA",51,503358,87.2210032406841
"KS",20,12593,2.18209324935719
"LA",22,221615,38.4010637224087
"NE",31,14340,2.48481038638784
"MI",26,576795,99.9460395269577
"MS",28,182447,31.6141004578314
"FL",12,1097400,190.155573083822
"IL",17,1007382,174.557409808937
"MO",29,310602,53.8205771013135
"NC",37,616383,106.805779664777
"OH",39,679266,117.702037093453
"AZ",4,235697,40.8411683152339
"ID",16,5065,0.877654435638382
"UT",49,15666,2.71457737190738
"HI",15,10125,1.75444247992865
"WI",55,432767,74.9891169097563
"WY",56,124,0.0214865054332003
