"state","ansi_code","votes","delegates"
"IA",19,51666,8
"NH",33,33189,3
"SC",45,164790,0
"NV",32,16079,6
"AL",1,180608,13
"AK",2,7973,12
"AR",5,123873,15
"GA",13,305109,18
"MA",25,60473,4
"MN",27,32684,13
"OK",40,157941,15
"TN",47,211159,16
"TX",48,1239370,104
"VT",50,5929,0
"VA",51,173193,8
"KS",20,35207,24
"KY",21,72503,15
"LA",22,113949,18
"ME",23,8550,12
"HI",15,4379,7
"ID",16,100942,20
"MI",26,330015,17
"MS",28,147065,15
"DC",11,351,0
"FL",12,403640,0
"IL",17,430170,9
"MO",29,380367,15
"NC",37,418740,27
"OH",39,267592,0
"AZ",4,132147,0
"UT",49,122567,40
"WI",55,531129,36
