"state","ansi_code","votes","delegates"
"IA",19,3474,0.251723772891128
"NH",33,44909,3.25407683269074
"SC",45,56206,4.07265008034505
"NV",32,2709,0.196292372124947
"AL",1,37970,2.75128142103515
"AK",2,892,0.064633737886841
"AR",5,15098,1.09399122714745
"GA",13,72303,5.23902819555187
"MA",25,113783,8.24464192598479
"MN",27,6488,0.47011624597514
"OK",40,16515,1.19666612242285
"TN",47,45243,3.27827825472461
"TX",48,120257,8.71374374109623
"VT",50,18543,1.34361367896378
"VA",51,96519,6.99370375235427
"KS",20,7795,0.564820613035791
"KY",21,33134,2.400868016976
"LA",22,19355,1.40245066905808
"ME",23,2270,0.164482718613373
"HI",15,1413,0.102385057885769
"ID",16,16517,1.19681104111766
"MI",26,321655,23.3069113901254
"MS",28,35817,2.59527644606837
"DC",11,1009,0.0731114815334334
"FL",12,159412,11.5508894888084
"IL",17,279518,20.2536918684462
"MO",29,92533,6.70488079359088
"NC",37,144299,10.4558113714499
"OH",39,956762,69.3263501435984
"AZ",4,53040,3.84324378645521
"UT",49,29773,2.15733215034184
"WI",55,155200,11.2456907175311
