"state","ansi_code","votes","delegates"
"IA",19,43165,7
"NH",33,30032,2
"SC",45,165881,0
"NV",32,17940,7
"AL",1,159802,1
"AK",2,3318,5
"AR",5,101235,9
"GA",13,315979,16
"MA",25,112822,8
"MN",27,41126,17
"OK",40,119562,12
"TN",47,180989,9
"TX",48,502223,3
"VT",50,11778,0
"VA",51,327042,16
"KS",20,12189,6
"KY",21,37579,7
"LA",22,33804,5
"ME",23,1492,0
"HI",15,1759,1
"ID",16,35347,0
"MI",26,123673,0
"MS",28,20768,0
"DC",11,1059,10
"FL",12,636653,0
"IL",17,122954,0
"MO",29,57006,0
"NC",37,87858,6
"OH",39,59418,0
"AZ",4,70556,0
"UT",49,0,0
"WI",55,10569,0
