"state","ansi_code","votes","delegates"
"IA",19,43165,3.12770773081333
"NH",33,30032,2.17609912132019
"SC",45,165881,12.0196290071828
"NV",32,17940,1.2999206924775
"AL",1,159802,11.5791486342971
"AK",2,3318,0.240420114695671
"AR",5,101235,7.33542203472461
"GA",13,315979,22.8956321342445
"MA",25,112822,8.17500849312688
"MN",27,41126,2.97996312145092
"OK",40,119562,8.66338449464853
"TN",47,180989,13.1143448278043
"TX",48,502223,36.3907508326715
"VT",50,11778,0.853426193756966
"VA",51,327042,23.6972498946057
"KS",20,12189,0.883206985541149
"KY",21,37579,2.7229498161991
"LA",22,33804,2.44941577973854
"ME",23,1492,0.108109346330904
"HI",15,1759,0.127455992088513
"ID",16,35347,2.56122055278719
"MI",26,123673,8.96126487183777
"MS",28,20768,1.50483572694385
"DC",11,1059,0.076734448903772
"FL",12,636653,46.1314609045639
"IL",17,122954,8.9091666010523
"MO",29,57006,4.13061755827047
"NC",37,87858,6.36613334446421
"OH",39,59418,4.30538950421561
"AZ",4,70556,5.11244171563224
"UT",49,0,0
"WI",55,10569,0.765822842742178
