"state","ansi_code","votes","delegates"
"NH",33,151584,15
"SC",45,95977,14
"AL",1,76399,9
"AR",5,64868,10
"CO",8,72115,38
"GA",13,214332,29
"MA",25,586716,45
"MN",27,118135,46
"OK",40,174054,21
"TN",47,120333,23
"TX",48,475561,75
"VT",50,115863,16
"VA",51,275507,33
"KS",20,26450,23
"LA",22,72240,14
"NE",31,19120,15
"MI",26,595222,67
"MS",28,36348,4
"FL",12,566603,73
"IL",17,971555,73
"MO",29,309071,34
"NC",37,460316,45
"OH",39,513549,62
"AZ",4,163400,33
"ID",16,18640,18
"UT",49,61333,27
"HI",15,23530,17
"WI",55,567936,48
"WY",56,156,7
