"state","ansi_code","votes","delegates"
"NH",33,151584,26.2662132224696
"SC",45,95977,16.6307284835666
"AL",1,76399,13.2382865208957
"AR",5,64868,11.2402147938777
"CO",8,72115,12.4959624138326
"GA",13,214332,37.1390780847474
"MA",25,586716,101.665133239883
"MN",27,118135,20.4702283818638
"OK",40,174054,30.159775940889
"TN",47,120333,20.8510940184943
"TX",48,475561,82.4043871799851
"VT",50,115863,20.0765401532813
"VA",51,275507,47.7393762289089
"KS",20,26450,4.58321023151732
"LA",22,72240,12.5176221975354
"NE",31,19120,3.31308051518378
"MI",26,595222,103.139038201293
"MS",28,36348,6.29831854424164
"FL",12,566603,98.1799874029643
"IL",17,971555,168.349369243168
"MO",29,309071,53.5552880705213
"NC",37,460316,79.7627599595889
"OH",39,513549,88.9868820864078
"AZ",4,163400,28.31366925633
"ID",16,18640,3.22990694576494
"UT",49,61333,10.6276761107619
"HI",15,23530,4.07723768421938
"WI",55,567936,98.4109673363712
"WY",56,156,0.0270314100611229
