"state","ansi_code","votes","delegates"
"IA",19,45427,3.29161077464745
"NH",33,100406,7.27535323572439
"SC",45,239851,17.3794469348618
"NV",32,34531,2.50209372530326
"AL",1,371735,26.9356755082566
"AK",2,7346,0.53228636605015
"AR",5,133144,9.64752735112731
"GA",13,501707,36.3533618094096
"MA",25,311313,22.5575368192446
"MN",27,24018,1.74032860601586
"OK",40,130141,9.42993193086477
"TN",47,332702,24.107369800928
"TX",48,757618,54.8965058636241
"VT",50,19968,1.44686824901843
"VA",51,355960,25.7926293029147
"KS",20,17062,1.23630138545435
"KY",21,82493,5.97738894562688
"LA",22,124818,9.04423082461852
"ME",23,6070,0.439828238759109
"HI",15,5677,0.411351715228247
"ID",16,62478,4.52711510728033
"MI",26,483751,35.0522817673736
"MS",28,191755,13.8944421619857
"DC",11,391,0.028331604836048
"FL",12,1077221,78.0547306728708
"IL",17,551053,39.9289407665442
"MO",29,382093,27.6862094286959
"NC",37,458151,33.1973224737602
"OH",39,727585,52.7203342829565
"AZ",4,249916,18.1087502665109
"UT",49,24864,1.80162921392199
"WI",55,386290,27.9903213097621
