"fip","H.Clinton"
"33001","3490"
"33003","3230"
"33005","5166"
"33007","2013"
"33009","6918"
"33011","28099"
"33013","12209"
"33015","22829"
"33017","8801"
"33019","2497"
"45001","1501"
"45003","6888"
"45005","1022"
"45007","5550"
"45009","1715"
"45011","1560"
"45013","9945"
"45015","9471"
"45017","1536"
"45019","26535"
"45021","1870"
"45023","1962"
"45025","2209"
"45027","3564"
"45029","2932"
"45031","4988"
"45033","1615"
"45035","6920"
"45037","1474"
"45039","3260"
"45041","9411"
"45043","4931"
"45045","19807"
"45047","3588"
"45049","1930"
"45051","11294"
"45053","2194"
"45055","3743"
"45057","3332"
"45059","2952"
"45061","2207"
"45063","8810"
"45067","3359"
"45069","2132"
"45065","973"
"45071","2118"
"45073","1960"
"45075","11819"
"45077","2499"
"45079","39243"
"45081","1023"
"45083","10662"
"45085","9816"
"45087","1690"
"45089","4609"
"45091","8895"
"32510","79"
"32001","46"
"32003","4767"
"32005","85"
"32007","38"
"32009","7"
"32011","3"
"32013","27"
"32015","20"
"32017","38"
"32019","80"
"32021","39"
"32023","94"
"32027","32"
"32029","35"
"32031","872"
"32033","47"
"1001","2387"
"1003","5290"
"1005","2567"
"1007","942"
"1009","564"
"1011","2451"
"1013","2196"
"1015","5011"
"1017","2899"
"1019","712"
"1021","860"
"1023","1772"
"1025","3148"
"1027","807"
"1029","221"
"1031","1493"
"1033","3879"
"1035","2031"
"1037","1012"
"1039","737"
"1041","908"
"1043","1275"
"1045","1544"
"1047","8577"
"1049","1297"
"1051","3019"
"1053","2027"
"1055","4262"
"1057","660"
"1059","1233"
"1061","544"
"1063","2714"
"1065","2426"
"1067","1170"
"1069","3044"
"1071","1327"
"1073","67357"
"1075","442"
"1077","3676"
"1079","2047"
"1081","7137"
"1083","3199"
"1085","3782"
"1087","4293"
"1089","19995"
"1091","3590"
"1093","567"
"1095","1494"
"1097","28927"
"1099","2438"
"1101","28650"
"1103","3897"
"1105","2575"
"1107","2326"
"1109","2183"
"1111","1236"
"1113","4381"
"1117","6657"
"1115","1808"
"1119","2987"
"1121","5561"
"1123","2658"
"1125","12136"
"1127","1772"
"1129","1511"
"1131","3337"
"1133","303"
"0","99"
"5001","724"
"5003","1375"
"5005","1391"
"5007","5650"
"5009","721"
"5011","593"
"5013","413"
"5015","0"
"5017","1370"
"5019","1650"
"5021","960"
"5023","758"
"5025","382"
"5027","1008"
"5029","1755"
"5031","3543"
"5033","1586"
"5035","3379"
"5037","780"
"5039","693"
"5041","1342"
"5043","1250"
"5045","4077"
"5047","667"
"5049","701"
"5051","4057"
"5053","690"
"5055","1236"
"5057","786"
"5059","1562"
"5061","535"
"5063","1059"
"5065","516"
"5067","702"
"5069","9936"
"5071","1056"
"5073","443"
"5075","933"
"5077","956"
"5079","599"
"5081","721"
"5083","881"
"5085","1664"
"5087","1085"
"5089","421"
"5091","1300"
"5093","2017"
"5095","843"
"5097","316"
"5099","647"
"5101","192"
"5103","2095"
"5105","648"
"5107","2696"
"5109","367"
"5111","717"
"5113","349"
"5115","1680"
"5117","558"
"5119","34862"
"5121","662"
"5123","1912"
"5125","4358"
"5127","306"
"5129","221"
"5131","3694"
"5133","342"
"5135","608"
"5137","547"
"5139","2548"
"5141","770"
"5143","9110"
"5145","2024"
"5147","862"
"5149","723"
"13001","490"
"13003","201"
"13005","113"
"13007","303"
"13009","3034"
"13011","172"
"13013","1457"
"13015","2216"
"13017","779"
"13019","325"
"13021","12944"
"13023","370"
"13025","137"
"13027","714"
"13029","893"
"13031","1910"
"13033","1659"
"13035","922"
"13037","499"
"13039","1405"
"13043","434"
"13045","3173"
"13047","1082"
"13049","275"
"13051","19898"
"13053","182"
"13055","566"
"13057","4837"
"13059","7089"
"13061","297"
"13063","25130"
"13065","167"
"13067","39277"
"13069","1094"
"13071","1035"
"13073","4805"
"13075","580"
"13077","4536"
"13079","493"
"13081","729"
"13083","241"
"13085","312"
"13087","1316"
"13089","82348"
"13091","579"
"13093","737"
"13095","8891"
"13097","9375"
"13099","671"
"13101","32"
"13103","1178"
"13105","805"
"13107","755"
"13109","347"
"13111","545"
"13113","7257"
"13115","2555"
"13117","3701"
"13119","352"
"13121","82576"
"13123","489"
"13125","38"
"13127","2870"
"13129","776"
"13131","887"
"13133","1076"
"13135","37465"
"13137","608"
"13139","3482"
"13141","1112"
"13143","413"
"13145","1372"
"13147","740"
"13149","276"
"13151","15639"
"13153","6274"
"13155","326"
"13157","1193"
"13159","632"
"13161","400"
"13163","1519"
"13165","355"
"13167","388"
"13169","1585"
"13171","868"
"13173","234"
"13175","2294"
"13177","1009"
"13179","2783"
"13181","538"
"13183","261"
"13185","3891"
"13187","560"
"13193","977"
"13195","656"
"13197","431"
"13189","1274"
"13191","863"
"13199","1463"
"13201","159"
"13205","1338"
"13207","1250"
"13209","287"
"13211","910"
"13213","444"
"13215","12801"
"13217","7269"
"13219","1223"
"13221","561"
"13223","4095"
"13225","1675"
"13227","431"
"13229","219"
"13231","417"
"13233","944"
"13235","376"
"13237","871"
"13239","193"
"13241","397"
"13243","690"
"13245","16269"
"13247","7930"
"13249","146"
"13251","771"
"13253","470"
"13255","3129"
"13257","460"
"13259","460"
"13261","1960"
"13263","852"
"13265","236"
"13267","518"
"13269","476"
"13271","426"
"13273","804"
"13275","2053"
"13277","1151"
"13279","562"
"13281","312"
"13283","300"
"13285","3357"
"13287","330"
"13289","818"
"13291","573"
"13293","1236"
"13295","1009"
"13297","2309"
"13299","919"
"13301","468"
"13303","1741"
"13305","700"
"13307","170"
"13309","177"
"13311","498"
"13313","1536"
"13315","302"
"13317","702"
"13319","832"
"13321","684"
"25001","21847"
"25003","12616"
"25005","36751"
"25007","2311"
"25009","65391"
"25011","5483"
"25013","31715"
"25015","14274"
"25017","169552"
"25019","979"
"25021","71275"
"25023","39051"
"25025","79083"
"25027","53456"
"1","5451"
"2","8221"
"3","10839"
"4","12346"
"5","21578"
"6","4756"
"7","3852"
"8","6467"
"40001","582"
"40003","92"
"40005","370"
"40007","52"
"40009","464"
"40011","313"
"40013","1050"
"40015","1060"
"40017","3357"
"40019","1240"
"40021","2023"
"40023","384"
"40025","22"
"40027","10433"
"40029","136"
"40031","3523"
"40033","204"
"40035","609"
"40037","2301"
"40039","750"
"40041","1447"
"40043","134"
"40045","70"
"40047","1403"
"40049","909"
"40051","1629"
"40053","125"
"40055","164"
"40057","122"
"40059","68"
"40061","475"
"40063","537"
"40065","505"
"40067","197"
"40069","260"
"40071","1288"
"40073","268"
"40075","331"
"40077","499"
"40079","1498"
"40081","1161"
"40083","1314"
"40085","314"
"40093","140"
"40095","400"
"40097","1659"
"40087","1157"
"40089","712"
"40091","1022"
"40099","544"
"40101","3381"
"40103","362"
"40105","406"
"40107","421"
"40109","34255"
"40111","1867"
"40113","2390"
"40115","972"
"40117","603"
"40119","2622"
"40121","1717"
"40123","1186"
"40125","2300"
"40127","317"
"40129","100"
"40131","2810"
"40133","932"
"40135","1359"
"40137","1174"
"40139","267"
"40141","214"
"40143","25372"
"40145","2493"
"40147","1649"
"40149","292"
"40151","217"
"40153","343"
"47001","2328"
"47003","1208"
"47005","560"
"47007","398"
"47009","2736"
"47011","1644"
"47013","656"
"47015","439"
"47017","721"
"47019","774"
"47021","1065"
