"fip","H.Clinton","B.Sanders","D.Trump","T.Cruz","M.Rubio","J.Kasich","state","winnerdem_votes","winnerrep_votes","winnerdem","winnerrep"
"33001","3490","5990","5505","2017","1504","2460","NH",5990,5505,"B.Sanders","D.Trump"
"33003","3230","5655","4182","1365","1433","2281","NH",5655,4182,"B.Sanders","D.Trump"
"33005","5166","12471","4543","1865","1237","2178","NH",12471,4543,"B.Sanders","D.Trump"
"33007","2013","3637","2183","600","615","942","NH",3637,2183,"B.Sanders","D.Trump"
"33009","6918","14258","4898","1716","1923","3475","NH",14258,4898,"B.Sanders","D.Trump"
"33011","28099","38646","28981","9587","8803","12504","NH",38646,28981,"B.Sanders","D.Trump"
"33013","12209","18076","10966","3776","3056","6172","NH",18076,10966,"B.Sanders","D.Trump"
"33015","22829","31080","28716","7990","8074","10370","NH",31080,28716,"B.Sanders","D.Trump"
"33017","8801","15865","7352","3322","2492","3193","NH",15865,7352,"B.Sanders","D.Trump"
"33019","2497","5906","3080","951","895","1334","NH",5906,3080,"B.Sanders","D.Trump"
"45001","1501","312","1353","876","740","157","SC",1501,1353,"H.Clinton","D.Trump"
"45003","6888","2870","9027","7036","6804","1904","SC",6888,9027,"H.Clinton","D.Trump"
"45005","1022","95","160","44","92","12","SC",1022,160,"H.Clinton","D.Trump"
"45007","5550","2691","10953","8750","7175","2038","SC",5550,10953,"H.Clinton","D.Trump"
"45009","1715","204","481","193","333","57","SC",1715,481,"H.Clinton","D.Trump"
"45011","1560","209","1106","516","575","91","SC",1560,1106,"H.Clinton","D.Trump"
"45013","9945","3567","9912","4407","9126","6245","SC",9945,9912,"H.Clinton","D.Trump"
"45015","9471","3584","9406","6244","6176","1555","SC",9471,9406,"H.Clinton","D.Trump"
"45017","1536","241","805","564","421","110","SC",1536,805,"H.Clinton","D.Trump"
"45019","26535","13420","14420","9050","15247","7301","SC",26535,15247,"H.Clinton","M.Rubio"
"45021","1870","514","3616","1978","1449","308","SC",1870,3616,"H.Clinton","D.Trump"
"45023","1962","492","1403","844","553","119","SC",1962,1403,"H.Clinton","D.Trump"
"45025","2209","446","1806","1434","695","139","SC",2209,1806,"H.Clinton","D.Trump"
"45027","3564","337","1601","1036","793","243","SC",3564,1601,"H.Clinton","D.Trump"
"45029","2932","583","2326","1103","936","223","SC",2932,2326,"H.Clinton","D.Trump"
"45031","4988","1079","3352","2594","1387","328","SC",4988,3352,"H.Clinton","D.Trump"
"45033","1615","292","972","912","445","65","SC",1615,972,"H.Clinton","D.Trump"
"45035","6920","2876","6949","5199","5244","1418","SC",6920,6949,"H.Clinton","D.Trump"
"45037","1474","301","1366","1148","900","151","SC",1474,1366,"H.Clinton","D.Trump"
"45039","3260","440","919","631","496","164","SC",3260,919,"H.Clinton","D.Trump"
"45041","9411","2584","6004","5208","3357","823","SC",9411,6004,"H.Clinton","D.Trump"
"45043","4931","1346","4620","1591","2693","1023","SC",4931,4620,"H.Clinton","D.Trump"
"45045","19807","10965","24913","22899","22875","7683","SC",19807,24913,"H.Clinton","D.Trump"
"45047","3588","983","3029","2408","2543","697","SC",3588,3029,"H.Clinton","D.Trump"
"45049","1930","241","721","365","314","88","SC",1930,721,"H.Clinton","D.Trump"
"45051","11294","5449","26445","8496","9605","3430","SC",11294,26445,"H.Clinton","D.Trump"
"45053","2194","355","1169","566","695","295","SC",2194,1169,"H.Clinton","D.Trump"
"45055","3743","1086","3673","2772","1896","579","SC",3743,3673,"H.Clinton","D.Trump"
"45057","3332","1213","4190","2689","2754","1047","SC",3332,4190,"H.Clinton","D.Trump"
"45059","2952","799","3321","2745","1580","436","SC",2952,3321,"H.Clinton","D.Trump"
"45061","2207","288","743","353","195","58","SC",2207,743,"H.Clinton","D.Trump"
"45063","8810","5584","16361","13167","11419","3449","SC",8810,16361,"H.Clinton","D.Trump"
"45067","3359","552","1206","740","436","100","SC",3359,1206,"H.Clinton","D.Trump"
"45069","2132","252","737","409","254","57","SC",2132,737,"H.Clinton","D.Trump"
"45065","973","162","615","371","468","180","SC",973,615,"H.Clinton","D.Trump"
"45071","2118","469","2024","1251","1146","337","SC",2118,2024,"H.Clinton","D.Trump"
"45073","1960","1303","4424","3164","4002","1477","SC",1960,4424,"H.Clinton","D.Trump"
"45075","11819","1460","2536","1303","1305","353","SC",11819,2536,"H.Clinton","D.Trump"
"45077","2499","1988","7136","6393","4961","1448","SC",2499,7136,"H.Clinton","D.Trump"
"45079","39243","12318","9172","7964","10955","4051","SC",39243,10955,"H.Clinton","M.Rubio"
"45081","1023","192","1248","797","553","156","SC",1023,1248,"H.Clinton","D.Trump"
"45083","10662","4447","15249","11478","10691","2457","SC",10662,15249,"H.Clinton","D.Trump"
"45085","9816","1441","3762","2474","2236","532","SC",9816,3762,"H.Clinton","D.Trump"
"45087","1690","332","1403","884","752","114","SC",1690,1403,"H.Clinton","D.Trump"
"45089","4609","557","1186","575","520","76","SC",4609,1186,"H.Clinton","D.Trump"
"45091","8895","5058","12031","9169","8089","2632","SC",8895,12031,"H.Clinton","D.Trump"
"32510","79","83","1066","462","600","102","NV",83,1066,"B.Sanders","D.Trump"
"32001","46","46","538","312","342","43","NV",46,538,"H.Clinton","D.Trump"
"32003","4767","3920","20132","7857","10114","1399","NV",4767,20132,"H.Clinton","D.Trump"
"32005","85","72","1683","1195","1251","199","NV",85,1683,"H.Clinton","D.Trump"
"32007","38","48","600","1039","503","37","NV",48,1039,"B.Sanders","T.Cruz"
"32009","7","15","46","9","8","3","NV",15,46,"B.Sanders","D.Trump"
"32011","3","19","81","67","31","7","NV",19,81,"B.Sanders","D.Trump"
"32013","27","53","361","189","182","42","NV",53,361,"B.Sanders","D.Trump"
"32015","20","48","165","148","72","9","NV",48,165,"B.Sanders","D.Trump"
"32017","38","25","82","127","46","3","NV",38,127,"H.Clinton","T.Cruz"
"32019","80","88","1399","711","506","67","NV",88,1399,"B.Sanders","D.Trump"
"32021","39","34","97","37","38","6","NV",39,97,"H.Clinton","D.Trump"
"32023","94","65","980","408","220","24","NV",94,980,"H.Clinton","D.Trump"
"32027","32","33","118","82","57","12","NV",33,118,"B.Sanders","D.Trump"
"32029","35","38","161","79","57","8","NV",38,161,"B.Sanders","D.Trump"
"32031","872","1035","6850","3240","3815","731","NV",1035,6850,"B.Sanders","D.Trump"
"32033","47","46","172","117","98","17","NV",47,172,"H.Clinton","D.Trump"
"1001","2387","544","5387","2482","1785","421","AL",2387,5387,"H.Clinton","D.Trump"
"1003","5290","2694","23618","8571","9703","2987","AL",5290,23618,"H.Clinton","D.Trump"
"1005","2567","222","1710","609","498","123","AL",2567,1710,"H.Clinton","D.Trump"
"1007","942","246","1959","1011","444","84","AL",942,1959,"H.Clinton","D.Trump"
"1009","564","395","7390","3698","1843","337","AL",564,7390,"H.Clinton","D.Trump"
"1011","2451","178","313","94","64","23","AL",2451,313,"H.Clinton","D.Trump"
"1013","2196","156","1720","534","427","86","AL",2196,1720,"H.Clinton","D.Trump"
"1015","5011","1425","8960","3859","3251","957","AL",5011,8960,"H.Clinton","D.Trump"
"1017","2899","312","2169","914","595","168","AL",2899,2169,"H.Clinton","D.Trump"
"1019","712","268","2777","921","810","151","AL",712,2777,"H.Clinton","D.Trump"
"1021","860","289","5273","2328","1436","218","AL",860,5273,"H.Clinton","D.Trump"
"1023","1772","273","1070","451","315","68","AL",1772,1070,"H.Clinton","D.Trump"
"1025","3148","213","2308","886","805","125","AL",3148,2308,"H.Clinton","D.Trump"
"1027","807","135","1920","836","505","125","AL",807,1920,"H.Clinton","D.Trump"
"1029","221","72","2120","928","598","106","AL",221,2120,"H.Clinton","D.Trump"
"1031","1493","389","4304","2421","1608","377","AL",1493,4304,"H.Clinton","D.Trump"
"1033","3879","1342","3858","1601","1443","250","AL",3879,3858,"H.Clinton","D.Trump"
"1035","2031","544","768","208","141","17","AL",2031,768,"H.Clinton","D.Trump"
"1037","1012","125","1233","435","241","66","AL",1012,1233,"H.Clinton","D.Trump"
"1039","737","188","4608","1773","1277","324","AL",737,4608,"H.Clinton","D.Trump"
"1041","908","107","1496","602","250","70","AL",908,1496,"H.Clinton","D.Trump"
"1043","1275","723","10618","4248","2832","558","AL",1275,10618,"H.Clinton","D.Trump"
