"state","fip","H.Clinton","B.Sanders","D.Trump","T.Cruz","M.Rubio","J.Kasich","winnerdem","winnerrep","label","respop72015","ratio","ratio_county_pop"
"AL","1001","2387","544","5387","2482","1785","421","H.Clinton","D.Trump","Autauga County, Alabama",55347,0.0000666564460116115,3.68923431740466
"AL","1003","5290","2694","23618","8571","9703","2987","H.Clinton","D.Trump","Baldwin County, Alabama",203709,0.0000666564460116115,13.5785179605794
"AL","1005","2567","222","1710","609","498","123","H.Clinton","D.Trump","Barbour County, Alabama",26489,0.0000666564460116115,1.76566259840158
"AL","1007","942","246","1959","1011","444","84","H.Clinton","D.Trump","Bibb County, Alabama",22583,0.0000666564460116115,1.50530252028022
"AL","1009","564","395","7390","3698","1843","337","H.Clinton","D.Trump","Blount County, Alabama",57673,0.0000666564460116115,3.84427721082767
"AL","1011","2451","178","313","94","64","23","H.Clinton","D.Trump","Bullock County, Alabama",10696,0.0000666564460116115,0.712957346540197
"AL","1013","2196","156","1720","534","427","86","H.Clinton","D.Trump","Butler County, Alabama",20154,0.0000666564460116115,1.34339401291802
"AL","1015","5011","1425","8960","3859","3251","957","H.Clinton","D.Trump","Calhoun County, Alabama",115620,0.0000666564460116115,7.70681828786253
"AL","1017","2899","312","2169","914","595","168","H.Clinton","D.Trump","Chambers County, Alabama",34123,0.0000666564460116115,2.27451790725422
"AL","1019","712","268","2777","921","810","151","H.Clinton","D.Trump","Cherokee County, Alabama",25859,0.0000666564460116115,1.72366903741426
"AL","1021","860","289","5273","2328","1436","218","H.Clinton","D.Trump","Chilton County, Alabama",43943,0.0000666564460116115,2.92908420708825
"AL","1023","1772","273","1070","451","315","68","H.Clinton","D.Trump","Choctaw County, Alabama",13170,0.0000666564460116115,0.877865393972924
"AL","1025","3148","213","2308","886","805","125","H.Clinton","D.Trump","Clarke County, Alabama",24675,0.0000666564460116115,1.64474780533651
"AL","1027","807","135","1920","836","505","125","H.Clinton","D.Trump","Clay County, Alabama",13555,0.0000666564460116115,0.903528125687394
"AL","1029","221","72","2120","928","598","106","H.Clinton","D.Trump","Cleburne County, Alabama",15018,0.0000666564460116115,1.00104650620238
"AL","1031","1493","389","4304","2421","1608","377","H.Clinton","D.Trump","Coffee County, Alabama",51211,0.0000666564460116115,3.41354325670064
"AL","1033","3879","1342","3858","1601","1443","250","H.Clinton","D.Trump","Colbert County, Alabama",54354,0.0000666564460116115,3.62304446651513
"AL","1035","2031","544","768","208","141","17","H.Clinton","D.Trump","Conecuh County, Alabama",12672,0.0000666564460116115,0.844670483859142
"AL","1037","1012","125","1233","435","241","66","H.Clinton","D.Trump","Coosa County, Alabama",10724,0.0000666564460116115,0.714823727028522
"AL","1039","737","188","4608","1773","1277","324","H.Clinton","D.Trump","Covington County, Alabama",37835,0.0000666564460116115,2.52194663484932
"AL","1041","908","107","1496","602","250","70","H.Clinton","D.Trump","Crenshaw County, Alabama",13963,0.0000666564460116115,0.930723955660132
