"fip","label","respop72015"
1001,"Autauga County, Alabama",55347
1003,"Baldwin County, Alabama",203709
1005,"Barbour County, Alabama",26489
1007,"Bibb County, Alabama",22583
1009,"Blount County, Alabama",57673
1011,"Bullock County, Alabama",10696
1013,"Butler County, Alabama",20154
1015,"Calhoun County, Alabama",115620
1017,"Chambers County, Alabama",34123
1019,"Cherokee County, Alabama",25859
1021,"Chilton County, Alabama",43943
1023,"Choctaw County, Alabama",13170
1025,"Clarke County, Alabama",24675
1027,"Clay County, Alabama",13555
1029,"Cleburne County, Alabama",15018
1031,"Coffee County, Alabama",51211
1033,"Colbert County, Alabama",54354
1035,"Conecuh County, Alabama",12672
1037,"Coosa County, Alabama",10724
1039,"Covington County, Alabama",37835
1041,"Crenshaw County, Alabama",13963
1043,"Cullman County, Alabama",82005
1045,"Dale County, Alabama",49565
1047,"Dallas County, Alabama",41131
1049,"DeKalb County, Alabama",71130
1051,"Elmore County, Alabama",81468
1053,"Escambia County, Alabama",37789
1055,"Etowah County, Alabama",103057
1057,"Fayette County, Alabama",16759
1059,"Franklin County, Alabama",31696
1061,"Geneva County, Alabama",26777
1063,"Greene County, Alabama",8479
1065,"Hale County, Alabama",15068
1067,"Henry County, Alabama",17221
1069,"Houston County, Alabama",104173
1071,"Jackson County, Alabama",52419
1073,"Jefferson County, Alabama",660367
1075,"Lamar County, Alabama",13886
1077,"Lauderdale County, Alabama",92596
1079,"Lawrence County, Alabama",33115
1081,"Lee County, Alabama",156993
1083,"Limestone County, Alabama",91663
1085,"Lowndes County, Alabama",10458
1087,"Macon County, Alabama",19105
1089,"Madison County, Alabama",353089
1091,"Marengo County, Alabama",20028
1093,"Marion County, Alabama",30168
1095,"Marshall County, Alabama",94725
1097,"Mobile County, Alabama",415395
1099,"Monroe County, Alabama",21673
1101,"Montgomery County, Alabama",226519
1103,"Morgan County, Alabama",119565
1105,"Perry County, Alabama",9652
1107,"Pickens County, Alabama",20864
1109,"Pike County, Alabama",33046
1111,"Randolph County, Alabama",22696
1113,"Russell County, Alabama",59660
1115,"St. Clair County, Alabama",87074
1117,"Shelby County, Alabama",208713
1119,"Sumter County, Alabama",13103
1121,"Talladega County, Alabama",80862
1123,"Tallapoosa County, Alabama",40844
1125,"Tuscaloosa County, Alabama",203976
1127,"Walker County, Alabama",65294
1129,"Washington County, Alabama",16804
1131,"Wilcox County, Alabama",11059
1133,"Winston County, Alabama",23877
2013,"Aleutians East Borough, Alaska",3341
2016,"Aleutians West Census Area, Alaska",5702
2020,"Anchorage Municipality, Alaska",298695
2050,"Bethel Census Area, Alaska",17946
2060,"Bristol Bay Borough, Alaska",892
2068,"Denali Borough, Alaska",1919
2070,"Dillingham Census Area, Alaska",4997
2090,"Fairbanks North Star Borough, Alaska",99631
2100,"Haines Borough, Alaska",2534
2105,"Hoonah-Angoon Census Area, Alaska",2133
2110,"Juneau City and Borough, Alaska",32756
2122,"Kenai Peninsula Borough, Alaska",58059
2130,"Ketchikan Gateway Borough, Alaska",13709
2150,"Kodiak Island Borough, Alaska",13889
2158,"Kusilvak Census Area, Alaska",8119
2164,"Lake and Peninsula Borough, Alaska",1563
2170,"Matanuska-Susitna Borough, Alaska",101095
2180,"Nome Census Area, Alaska",9846
2185,"North Slope Borough, Alaska",9687
2188,"Northwest Arctic Borough, Alaska",7752
2195,"Petersburg Borough, Alaska",3177
2198,"Prince of Wales-Hyder Census Area, Alaska",6341
2220,"Sitka City and Borough, Alaska",8863
2230,"Skagway Municipality, Alaska",1057
2240,"Southeast Fairbanks Census Area, Alaska",6839
2261,"Valdez-Cordova Census Area, Alaska",9362
2275,"Wrangell City and Borough, Alaska",2382
2282,"Yakutat City and Borough, Alaska",613
2290,"Yukon-Koyukuk Census Area, Alaska",5533
4001,"Apache County, Arizona",71474
4003,"Cochise County, Arizona",126427
