"ansi_code","State","State_name","Date","Trump","Cruz","Rubio","Kasich","winner","margin","Delegates","Trump_del","Cruz_del","Rubio_Del","Kasich_del","Primary_or_caucus","Delegate_allocation","open_or_closed","pop_vote","del_sent","PTrump","PCruz","PRubio","PKasich","PDTrump","PDCruz","PDRubio","PDKasich","del_prop"
19,"IA","Iowa","02/01/16",45427,51666,43165,3474,"Cruz",6239,30,7,8,7,1,"Caucus","Proportional","Closed",143732,23,0.316053488436813,0.359460662900398,0.300315865638828,0.0241699830239613,0.304347826086957,0.347826086956522,0.304347826086957,0.0434782608695652,17.9595208880449
33,"NH","New Hampshire","02/09/16",100406,33189,30032,44909,"Trump",55497,23,11,3,2,4,"Primary","Proportional*","Open**",208536,20,0.48148041585146,0.159152376568075,0.144013503663636,0.21535370391683,0.55,0.15,0.1,0.2,26.0568742375346
45,"SC","South Carolina","02/20/16",239851,164790,165881,56206,"Trump",73970,50,50,0,0,0,"Primary","Winner Take All∇","Open",626728,50,0.382703501359441,0.26293703169477,0.264677818766674,0.0896816481791144,1,0,0,0,78.3105683294088
32,"NV","Nevada","02/23/16",34531,16079,17940,2709,"Trump",16591,30,14,6,7,1,"Caucus","Proportional","Closed",71259,28,0.484584403373609,0.225641673332491,0.251757672715025,0.0380162505788742,0.5,0.214285714285714,0.25,0.0357142857142857,8.90391491777189
1,"AL","Alabama","03/01/16",371735,180608,159802,37970,"Trump",191127,50,36,13,1,0,"Primary","Proportional*#∇","Open",750115,50,0.495570679162528,0.240773748025303,0.213036667710951,0.0506189051012178,0.72,0.26,0.02,0,93.7279520979029
2,"AK","Alaska","03/01/16",7346,7973,3318,892,"Cruz",627,28,11,12,5,0,"Caucus","Proportional*","Closed",19529,28,0.376158533463055,0.408264632085616,0.169901172615085,0.0456756618362435,0.392857142857143,0.428571428571429,0.178571428571429,0,2.44017674159288
5,"AR","Arkansas","03/01/16",133144,123873,101235,15098,"Trump",9271,40,16,15,9,0,"Primary","Proportional*#","Open",373350,40,0.356619793759207,0.331787866613098,0.271153073523503,0.0404392661041918,0.4,0.375,0.225,0,46.6506214590457
13,"GA","Georgia","03/01/16",501707,305109,315979,72303,"Trump",185728,76,42,18,16,0,"Primary","Proportional*#∇","Open**",1195098,76,0.41980406627741,0.255300402142753,0.264395890546215,0.0604996410336223,0.552631578947368,0.236842105263158,0.210526315789474,0,149.329220314618
25,"MA","Massachusetts","03/01/16",311313,60473,112822,113783,"Trump",197530,42,22,4,8,8,"Primary","Proportional*","Open**",598391,42,0.520250137451934,0.101059340798909,0.188542274198643,0.190148247550515,0.523809523809524,0.0952380952380952,0.19047619047619,0.19047619047619,74.7698192727998
27,"MN","Minnesota","03/01/16",24018,32684,41126,6488,"Rubio",8442,38,8,13,17,0,"Caucus","Proportional*#∇","Open",104316,38,0.230242724030829,0.313317228421335,0.394244411212086,0.0621956363357491,0.210526315789474,0.342105263157895,0.447368421052632,0,13.0344347880589
