"ansi_code","State","State_name","Date","Trump","Cruz","Rubio","Kasich","winner","margin","Delegates","Trump_del","Cruz_del","Rubio_Del","Kasich_del","Primary_or_caucus","Delegate_allocation","open_or_closed"
,,"Total",,7811245,5732220,3435009,2805211,"Trump",2079025,2472,737,475,171,143,"-","-","-"
"19","IA","Iowa","02/01/16",45427,51666,43165,3474,"Cruz",6239,30,7,8,7,1,"Caucus","Proportional","Closed"
"33","NH","New Hampshire","02/09/16",100406,33189,30032,44909,"Trump",55497,23,11,3,2,4,"Primary","Proportional*","Open**"
"45","SC","South Carolina","02/20/16",239851,164790,165881,56206,"Trump",73970,50,50,0,0,0,"Primary","Winner Take All∇","Open"
"32","NV","Nevada","02/23/16",34531,16079,17940,2709,"Trump",16591,30,14,6,7,1,"Caucus","Proportional","Closed"
"01","AL","Alabama","03/01/16",371735,180608,159802,37970,"Trump",191127,50,36,13,1,0,"Primary","Proportional*#∇","Open"
"02","AK","Alaska","03/01/16",7346,7973,3318,892,"Cruz",627,28,11,12,5,0,"Caucus","Proportional*","Closed"
"05","AR","Arkansas","03/01/16",133144,123873,101235,15098,"Trump",9271,40,16,15,9,0,"Primary","Proportional*#","Open"
"08","CO","Colorado1","03/01/16",,,,,,,37,,,,,"Caucus","Unbound","Closed"
"13","GA","Georgia","03/01/16",501707,305109,315979,72303,"Trump",185728,76,42,18,16,0,"Primary","Proportional*#∇","Open**"
"25","MA","Massachusetts","03/01/16",311313,60473,112822,113783,"Trump",197530,42,22,4,8,8,"Primary","Proportional*","Open**"
"27","MN","Minnesota","03/01/16",24018,32684,41126,6488,"Rubio",8442,38,8,13,17,0,"Caucus","Proportional*#∇","Open"
"40","OK","Oklahoma","03/01/16",130141,157941,119562,16515,"Cruz",27800,43,13,15,12,0,"Primary","Proportional*#∇","Closed"
"47","TN","Tennessee","03/01/16",332702,211159,180989,45243,"Trump",121543,58,33,16,9,0,"Primary","Proportional*#∇","Open"
"48","TX","Texas","03/01/16",757618,1239370,502223,120257,"Cruz",481752,155,48,104,3,0,"Primary","Proportional*#∇","Open"
"50","VT","Vermont","03/01/16",19968,5929,11778,18543,"Trump",1425,16,8,0,0,8,"Primary","Proportional*#","Open"
"51","VA","Virginia","03/01/16",355960,173193,327042,96519,"Trump",28918,49,17,8,16,5,"Primary","Proportional","Open"
