"state","ansi_code","votes","delegates"
"IA",19,45427,7
"NH",33,100406,11
"SC",45,239851,50
"NV",32,34531,14
"AL",1,371735,36
"AK",2,7346,11
"AR",5,133144,16
"GA",13,501707,42
"MA",25,311313,22
"MN",27,24018,8
"OK",40,130141,13
"TN",47,332702,33
"TX",48,757618,48
"VT",50,19968,8
"VA",51,355960,17
"KS",20,17062,9
"KY",21,82493,17
"LA",22,124818,18
"ME",23,6070,9
"HI",15,5677,11
"ID",16,62478,12
"MI",26,483751,25
"MS",28,191755,25
"DC",11,391,0
"FL",12,1077221,99
"IL",17,551053,53
"MO",29,382093,25
"NC",37,458151,29
"OH",39,727585,0
"AZ",4,249916,58
"UT",49,24864,0
